t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
99,0.05612720514950603,0.048587956055839696,0.05112162998801563,0.04071402189599267,5.612720514950601,4.858795605583971,5.112162998801562,4.071402189599266
100,0.05557149024703568,0.04897053914368133,0.05144454646271172,0.04058198323152317,5.612720514950605,4.946024453511814,5.195899192733884,4.098780306383841
101,0.05297747484747571,0.04855299069637872,0.05019236957402341,0.039677364932750224,5.403702434442517,4.952405051030628,5.119621696550388,4.047091223140522
102,0.05359280694041477,0.04833629688832749,0.04843114188631977,0.03811285749305768,5.52005911486272,4.978638579497729,4.988407614290936,3.9256243217849414
103,0.05335181922635586,0.04818813049158535,0.04913808646636367,0.03684283516872731,5.548589199541011,5.011565571124875,5.110360992501821,3.8316548575476403
104,0.05160047386614204,0.04862103712615864,0.050678650098876656,0.035915058055842726,5.418049755944914,5.105208898246657,5.32125826038205,3.7710810958634857
105,0.05181678042651123,0.04627755920726192,0.04958088191183291,0.036636800587594436,5.492578725210188,4.905421275969766,5.25557348265429,3.8835008622850102
106,0.051589337522081447,0.045472533061600734,0.04806501260046278,0.03637347688958263,5.520059114862716,4.865561037591278,5.142956348249516,3.891962027185342
107,0.050203092695651874,0.04697360306472092,0.04913104934873235,0.03430466934112191,5.421934011130404,5.073149130989859,5.306153329663094,3.70490428884117
108,0.05091536486426279,0.045559051376673224,0.04812430726663462,0.03487445469495086,5.5497747702046425,4.965936600057383,5.245549492063173,3.8013155617496444
109,0.05069975759062087,0.04373792009952518,0.04749258773237335,0.03606033800980617,5.576973334968293,4.81117121094777,5.224184650561071,3.966637181078677
110,0.049482691218109796,0.043005013934914356,0.045888266959720925,0.035486564790543046,5.492578725210187,4.773556546775492,5.093597632529023,3.939008691750275
111,0.05113507522598695,0.04359436026034938,0.04547855029043771,0.035154804765018914,5.72712842531054,4.882568349159131,5.093597632529023,3.937338133682116
112,0.050257876448502645,0.043379938262453135,0.04443138435609862,0.035164575851284345,5.6791400386808,4.901933023657204,5.020746432239146,3.9735970711951314
113,0.05117047002717956,0.043208462294031906,0.045702290499351796,0.033925822457645416,5.8334335830984685,4.925764701519637,5.210061116926102,3.8675437601715776
114,0.05193499836639909,0.04297187952148468,0.045324639578710454,0.033485541126445736,5.972524812135899,4.941766144970738,5.212333551551702,3.8508372295412654
115,0.051517661084255525,0.0424542766380064,0.043731808283681645,0.032134176424003257,5.976048685773643,4.92469609000874,5.07288976090707,3.7275644651843742
116,0.05234136086076724,0.041988531568509235,0.04326926547929055,0.03155333696910171,6.123939220709769,4.912658193515583,5.062504061076993,3.6917404253848938
117,0.05371064565624452,0.041831962204572914,0.04249758634261199,0.0326486889551206,6.33785618743685,4.936171540139605,5.014715188428215,3.852545296704231
118,0.05167788545648202,0.041616849168324595,0.040206466353910876,0.031454317315823224,6.149668369321356,4.952405051030629,4.784569496115392,3.743063760582963
119,0.05146075265993964,0.04196167493967191,0.0388052567729731,0.03158519065964065,6.17529031919276,5.03540099276063,4.656630812756774,3.7902228791568726
120,0.05195691303511929,0.04218328806066451,0.04060048093814532,0.031415831088840024,6.28678647724943,5.104177855340405,4.9126581935155835,3.801315561749644
121,0.05248294051101163,0.042641198722079186,0.04010931116820821,0.03207543461006265,6.40291874234342,5.20222624409366,4.893335962521403,3.9132030224276426
