cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
0.6060553633217993,0.6228373702422145,0.6562283737024222,113.85,109.0,99.35
0.6063793103448276,0.6227586206896552,0.6563793103448277,114.15,109.4,99.65
0.6072164948453608,0.6231958762886598,0.656701030927835,114.3,109.65,99.9
0.6071917808219178,0.6231164383561644,0.6565068493150685,114.7,110.05,100.3
0.6069965870307167,0.6223549488054607,0.6563139931740614,115.15,110.65,100.7
0.6069727891156462,0.6222789115646259,0.6562925170068027,115.55,111.05,101.05
0.6071186440677966,0.6220338983050848,0.6557627118644068,115.9,111.5,101.55
0.6069256756756757,0.6222972972972973,0.6557432432432433,116.35,111.8,101.9
0.6075757575757577,0.6227272727272728,0.6565656565656566,116.55,112.05,102.0
0.6068791946308725,0.6223154362416107,0.6557046979865773,117.15,112.55,102.6
0.6075250836120402,0.6229096989966555,0.6558528428093646,117.35,112.75,102.9
0.6075,0.623,0.6561666666666667,117.75,113.1,103.15
0.6071428571428571,0.6227574750830565,0.6558139534883721,118.25,113.55,103.6
0.6074503311258278,0.622682119205298,0.6559602649006623,118.55,113.95,103.9
0.6077557755775578,0.6234323432343234,0.6564356435643564,118.85,114.1,104.1
0.6080592105263158,0.6240131578947368,0.6567434210526316,119.15,114.3,104.35
0.6080327868852459,0.6240983606557376,0.6567213114754098,119.55,114.65,104.7
0.6081699346405228,0.6241830065359477,0.6563725490196078,119.9,115.0,105.15
0.6081433224755701,0.6239413680781759,0.6560260586319218,120.3,115.45,105.6
0.6082792207792208,0.6238636363636363,0.6563311688311688,120.65,115.85,105.85
0.6085760517799352,0.6239482200647248,0.6559870550161813,120.95,116.2,106.3
0.6083870967741936,0.6238709677419354,0.6559677419354839,121.4,116.6,106.65
0.6091639871382637,0.6244372990353698,0.6564308681672026,121.55,116.8,106.85
0.6081730769230769,0.6235576923076923,0.6556089743589744,122.25,117.45,107.45
0.60814696485623,0.6233226837060702,0.6555910543130989,122.65,117.9,107.8
0.6087579617834395,0.6237261146496815,0.6562101910828024,122.85,118.15,107.95
0.6088888888888888,0.623968253968254,0.6561904761904762,123.2,118.45,108.3
0.6087025316455696,0.6240506329113924,0.656012658227848,123.65,118.8,108.7
0.6089905362776025,0.6246056782334385,0.6561514195583596,123.95,119.0,109.0
0.6092767295597483,0.6248427672955975,0.656132075471698,124.25,119.3,109.35
0.6092476489028213,0.6250783699059561,0.656269592476489,124.65,119.6,109.65
0.6092187499999999,0.6248437499999999,0.6564062500000001,125.05,120.05,109.95
0.6091900311526479,0.6250778816199377,0.6565420560747663,125.45,120.35,110.25
0.6086956521739131,0.6246894409937889,0.6563664596273292,126.0,120.85,110.65
0.6088235294117647,0.6246130030959752,0.6563467492260062,126.35,121.25,111.0
0.6094135802469136,0.6248456790123457,0.6564814814814814,126.55,121.55,111.3
0.6098461538461539,0.6252307692307693,0.6567692307692308,126.8,121.8,111.55
0.6099693251533742,0.6253067484662577,0.6565950920245399,127.15,122.15,111.95
0.6100917431192661,0.6250764525993884,0.6564220183486238,127.5,122.6,112.35
0.6105182926829269,0.6254573170731708,0.6571646341463415,127.75,122.85,112.45
0.6106382978723405,0.625531914893617,0.6572948328267477,128.1,123.2,112.75
0.6106060606060606,0.6256060606060606,0.6574242424242425,128.5,123.55,113.05
0.6105740181268883,0.6256797583081571,0.6570996978851964,128.9,123.9,113.5
0.6112951807228916,0.626355421686747,0.6576807228915663,129.05,124.05,113.65
0.6111111111111112,0.6262762762762762,0.6575075075075075,129.5,124.45,114.05
0.6115269461077844,0.6266467065868263,0.6574850299401198,129.75,124.7,114.4
0.6116417910447761,0.6264179104477612,0.6571641791044776,130.1,125.15,114.85
0.6116071428571429,0.6258928571428571,0.6568452380952381,130.5,125.7,115.3
0.6114243323442137,0.6253709198813057,0.6562314540059347,130.95,126.25,115.85
0.6116863905325444,0.6257396449704142,0.656508875739645,131.25,126.5,116.1
0.6116519174041298,0.6255162241887906,0.6561946902654867,131.65,126.95,116.55
0.6113235294117647,0.6252941176470588,0.6557352941176471,132.15,127.4,117.05
0.6111436950146627,0.6249266862170088,0.6552785923753666,132.6,127.9,117.55
0.610672514619883,0.6245614035087719,0.6552631578947368,133.15,128.4,117.9
0.6104956268221574,0.6244897959183674,0.6555393586005831,133.6,128.8,118.15
0.6104651162790697,0.6242732558139534,0.6555232558139534,134.0,129.25,118.5
0.6101449275362318,0.6239130434782608,0.6556521739130435,134.5,129.75,118.8
